District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location
Waterbury School District,Waterbury Arts Magnet School,Public Schools,1516011,16 South Elm St.,Waterbury,06706,203-573-6300,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2005-07-01T00:00:00.000,1,"16 South Elm St.
Waterbury, CT 06706
(41.554336732, -73.037137014)"
West Hartford School District,Aiken School,Public Schools,1551611,212 King Philip Dr.,West Hartford,06117-1408,860-233-6994,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1990-07-01T00:00:00.000,0,"212 King Philip Dr.
West Hartford, CT 06117-1408
(41.800809005, -72.744687019)"
Regional School District 13,Middlefield Memorial School,Regional Schools,2130412,124 Hubbard St.,Middlefield,06455-1218,860-349-7235,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"124 Hubbard St.
Middlefield, CT 06455-1218
(41.523376015, -72.692417974)"
Hamden School District,Church Street School,Public Schools,0620211,95 Church St.,Hamden,06514-3436,203-407-2020,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"95 Church St.
Hamden, CT 06514-3436
(41.354021843, -72.933843696)"
New Haven School District,Clinton Avenue School,Public Schools,0930611,293 Clinton Ave.,New Haven,06513,475-220-3300,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"293 Clinton Ave.
New Haven, CT 06513
(41.318795006, -72.891839041)"
Cromwell School District,Woodside Intermediate School,Public Schools,0330311,30 Woodside Rd.,Cromwell,06416,860-632-3564,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2006-07-01T00:00:00.000,0,"30 Woodside Rd.
Cromwell, CT 06416
(41.624505018, -72.658690034)"
Connecticut Technical Education and Career System,Vinal Technical High School,CT Technical Education and Career Schools,9001816,60 Daniels St.,Middletown,06457-4941,860-344-7100,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"60 Daniels St.
Middletown, CT 06457-4941
(41.529396987, -72.675388964)"
Watertown School District,Watertown High School,Public Schools,1536111,324 French St.,Watertown,06795-2929,860-945-4810,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"324 French St.
Watertown, CT 06795-2929
(41.594254981, -73.102535025)"
Oxford School District,Oxford High School,Public Schools,1086011,61 Quaker Farms Rd.,Oxford,06478,203-888-2468,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2007-08-31T00:00:00.000,0,"61 Quaker Farms Rd.
Oxford, CT 06478
(41.38166498, -73.14000297)"
Suffield School District,Suffield School District,Public School Districts,1390011,350 Mountain Road,Suffield,06078,860-668-3800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"350 Mountain Road
Suffield, CT 06078
(41.985172989, -72.661656976)"
Danbury School District,Rogers Park Middle School,Public Schools,0345211,21 Memorial Dr.,Danbury,06810-8005,203-797-4881,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"21 Memorial Dr.
Danbury, CT 06810-8005
(41.382835405, -73.440638829)"
Regional School District 18,Lyme-Old Lyme Middle School,Regional Schools,2185112,53 Lyme St.,Old Lyme,06371-2335,860-434-2568,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2002-07-01T00:00:00.000,0,"53 Lyme St.
Old Lyme, CT 06371-2335
(41.317720106, -72.329515491)"
Killingly School District,Killingly High School,Public Schools,0696111,226 Putman Pike,Dayville,06241,860-779-6620,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"226 Putman Pike
Dayville, CT 06241
(41.849389, -71.852359)"
Department of Mental Health and Addiction Services,Southeast Mental Health Authority,State Agency Facilities,3370715,401 West Thames St.,Norwich,06360,860-262-7175,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2007-07-01T00:00:00.000,0,"401 West Thames St.
Norwich, CT 06360
(41.506420011, -72.094643019)"
Waterbury School District,Duggan School,Public Schools,1511611,952 Bank Street,Waterbury,06708,203-574-8875,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2011-08-15T00:00:00.000,0,"952 Bank Street
Waterbury, CT 06708
(41.543417983, -73.047079012)"
Deep River School District,Deep River Elementary School,Public Schools,0360111,12 River St.,Deep River,06417-1921,860-526-5319,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"12 River St.
Deep River, CT 06417-1921
(41.385842018, -72.434478985)"
Windham School District,Windham Middle School,Public Schools,1635111,123 Quarry St.,Willimantic,06226-2208,860-465-2351,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"123 Quarry St.
Willimantic, CT 06226-2208
(41.722848002, -72.228712985)"
Learn,Regional Multicultural Magnet School,Regional Education Service Center Schools,2450114,1 Bulkeley Place,New London,06320,860-437-7775,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2000-07-01T00:00:00.000,1,"1 Bulkeley Place
New London, CT 06320
(41.358791018, -72.10000903)"
Bozrah School District,Bozrah School District,Public School Districts,0130011,8 Bozrah Street Extension,Bozrah,06334-1300,860-887-2561,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"8 Bozrah Street Extension
Bozrah, CT 06334-1300
(41.56325602, -72.153796038)"
Stafford School District,West Stafford School,Public Schools,1340411,153 West Stafford Rd.,Stafford Springs,06076-1017,860-684-3181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"153 West Stafford Rd.
Stafford Springs, CT 06076-1017
(41.968982495, -72.346228363)"
Ridgefield School District,Farmingville Elementary School,Public Schools,1180411,324 Farmingville Rd.,Ridgefield,06877-4299,203-894-5570,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"324 Farmingville Rd.
Ridgefield, CT 06877-4299
(41.293185987, -73.465703024)"
Thompson School District,Tourtellotte Memorial High School,Public Schools,1416111,785 Riverside Dr.,North Grosvenordale,06255-0835,860-923-9303,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"785 Riverside Dr.
North Grosvenordale, CT 06255-0835
(41.976839994, -71.897569975)"
Litchfield School District,Litchfield School District,Public School Districts,0740011,35 Wamogo Road,Litchfield,06759,860-567-7500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"35 Wamogo Road
Litchfield, CT 06759
(41.729607001, -73.228192997)"
Bethany School District,Bethany Community School,Public Schools,0080111,44 Peck Road,Bethany,06524-3322,203-393-3350,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"44 Peck Road
Bethany, CT 06524-3322
(41.424355019, -73.000168015)"
Westport School District,Bedford Middle School,Public Schools,1585111,88 North Ave.,Westport,06880,203-341-1510,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"88 North Ave.
Westport, CT 06880
(41.156596001, -73.333342217)"
Wallingford School District,Dag Hammarskjold Middle School,Public Schools,1485211,106 Pond Hill Road,Wallingford,06492-4809,203-294-3700,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"106 Pond Hill Road
Wallingford, CT 06492-4809
(41.43736499, -72.818696039)"
Regional School District 08,RHAM High School,Regional Schools,2086112,85 Wall St.,Hebron,06248,860-228-9474,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0,"85 Wall St.
Hebron, CT 06248
(41.66352701, -72.365757018)"
Glastonbury School District,Buttonball Lane School,Public Schools,0540211,376 Buttonball Ln.,Glastonbury,06033-3226,860-652-7276,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"376 Buttonball Ln.
Glastonbury, CT 06033-3226
(41.689774982, -72.595250007)"
Greenwich School District,Greenwich School District,Public School Districts,0570011,290 Greenwich Ave,Greenwich,06830,203-625-7400,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"290 Greenwich Ave
Greenwich, CT 06830
(41.024824982, -73.626540012)"
Griswold School District,Griswold Middle School,Public Schools,0585111,211 Slater Ave.,Griswold,06351-2525,860-376-7630,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1992-07-01T00:00:00.000,0,"211 Slater Ave.
Griswold, CT 06351-2525
(41.59735398, -71.981599979)"
New Haven School District,Metropolitan Business Academy,Public Schools,0936011,115 Water Street,New Haven,06511,475-220-7700,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2003-07-01T00:00:00.000,1,"115 Water Street
New Haven, CT 06511
(41.301224987, -72.918861039)"
Manchester School District,Elisabeth M. Bennet Academy,Public Schools,0771711,1151 Main St.,Manchester,06040-6011,860-647-3571,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2008-08-27T00:00:00.000,0,"1151 Main St.
Manchester, CT 06040-6011
(41.76606698, -72.519725958)"
Bloomfield School District,Bloomfield High School,Public Schools,0116111,5 Huckleberry Ln.,Bloomfield,06002-3190,860-286-2630,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"5 Huckleberry Ln.
Bloomfield, CT 06002-3190
(41.827886995, -72.726157984)"
Connecticut Technical Education and Career System,Windham Technical High School,CT Technical Education and Career Schools,9002416,210 Birch St.,Willimantic,06226-2108,860-456-3879,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"210 Birch St.
Willimantic, CT 06226-2108
(41.719989018, -72.220614977)"
Bethel School District,Bethel School District,Public School Districts,0090011,1 School Street,Bethel,06801,203-794-8601,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"1 School Street
Bethel, CT 06801
(41.372819013, -73.413027038)"
Norwich School District,Thomas W. Mahan School,Public Schools,1041711,94 Salem Tpke.,Norwich,06360-6496,860-823-4205,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"94 Salem Tpke.
Norwich, CT 06360-6496
(41.510136002, -72.112138985)"
Enfield School District,Enfield High School,Public Schools,0496111,1264 Enfield St.,Enfield,06082-4919,860-253-5540,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"1264 Enfield St.
Enfield, CT 06082-4919
(41.979106, -72.598304037)"
Hartford School District,University High School of Science and Engineering,Public Schools,0646711,351 Mark Twain Drive,Hartford,06112,860-695-9020,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2004-07-01T00:00:00.000,1,"351 Mark Twain Drive
Hartford, CT 06112
(41.796485997, -72.70969601)"
Bridgeport School District,Beardsley School,Public Schools,0150211,500 Huntington Rd.,Bridgeport,06610-1709,203-576-7184,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"500 Huntington Rd.
Bridgeport, CT 06610-1709
(41.19964399, -73.181653988)"
Regional School District 11,Parish Hill High School,Regional Schools,2116112,304 Parish Hill Rd.,Chaplin,06235,860-455-9584,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2002-07-01T00:00:00.000,0,"304 Parish Hill Rd.
Chaplin, CT 06235
(41.751046987, -72.10517597)"
Salisbury School District,Salisbury School District,Public School Districts,1220011,45 Lincoln City Road,Lakeville,06039,860-435-9871,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"45 Lincoln City Road
Lakeville, CT 06039
(41.970814728, -73.439232547)"
Avon School District,Avon High School,Public Schools,0046111,510 West Avon Rd.,Avon,06001-2519,860-404-4740,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"510 West Avon Rd.
Avon, CT 06001-2519
(41.783382987, -72.862131983)"
New Haven School District,High School In The Community,Public Schools,0936611,175 Water St.,New Haven,06511,475-220-6200,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1995-07-01T00:00:00.000,1,"175 Water St.
New Haven, CT 06511
(41.301839003, -72.922756026)"
Deep River School District,Deep River School District,Public School Districts,0360011,1 Winthrop Road,Deep River,06417,860-526-2417,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0,"1 Winthrop Road
Deep River, CT 06417
(41.363604996, -72.456837964)"
Rocky Hill School District,Moser School,Public Schools,1190611,10 School Street,Rocky Hill,06067,860-258-7771,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2019-07-01T00:00:00.000,,"10 School Street
Rocky Hill, CT 06067
(41.65093802, -72.639624976)"
Stafford School District,Stafford High School,Public Schools,1346111,145 Orcuttville Rd.,Stafford Springs,06076-3719,860-684-4233,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"145 Orcuttville Rd.
Stafford Springs, CT 06076-3719
(41.971551013, -72.306623027)"
Hartford School District,Burr Middle School,Public Schools,0642311,400 Wethersfield Avenue,Hartford,06114-1414,860-695-3080,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"400 Wethersfield Avenue
Hartford, CT 06114-1414
(41.745017004, -72.672334012)"
Naugatuck School District,Naugatuck High School,Public Schools,0886111,543 Rubber Ave.,Naugatuck,06770-2887,203-720-5400,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"543 Rubber Ave.
Naugatuck, CT 06770-2887
(41.491530985, -73.071669002)"
Canterbury School District,Canterbury School District,Public School Districts,0220011,45 Westminster Road,Canterbury,06331,860-546-6950,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"45 Westminster Road
Canterbury, CT 06331
(41.698566005, -71.97726796)"
New London School District,New London Visual and Performing Arts Magnet School,Public Schools,0951411,36 Waller Street,New London,06320,860-449-6800,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2016-09-01T00:00:00.000,1,"36 Waller Street
New London, CT 06320
(41.35852649, -72.10677967)"
North Haven School District,North Haven High School,Public Schools,1016111,221 Elm Street,North Haven,06473,203-239-1641,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"221 Elm Street
North Haven, CT 06473
(41.37400698, -72.862929019)"
Thompson School District,Thompson School District,Public School Districts,1410011,785 Riverside Drive,North Grosvenor Dale,06255,860-923-9581,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"785 Riverside Drive
North Grosvenor Dale, CT 06255
(41.976839994, -71.897569975)"
Waterbury School District,Waterbury Career Academy,Public Schools,1516711,175 Birch Street,Waterbury,06704,203-574-8000,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2013-08-27T00:00:00.000,0,"175 Birch Street
Waterbury, CT 06704
(41.557553015, -73.019489978)"
Putnam School District,Putnam High School,Public Schools,1166111,152 Woodstock Ave.,Putnam,06260-1440,860-963-6905,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"152 Woodstock Ave.
Putnam, CT 06260-1440
(41.922203983, -71.916989)"
Simsbury School District,Squadron Line School,Public Schools,1280711,44 Squadron Line Rd.,Simsbury,06070-1636,860-658-2251,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"44 Squadron Line Rd.
Simsbury, CT 06070-1636
(41.901315969, -72.80662781)"
Stamford School District,Cloonan School,Public Schools,1355611,11 West North St.,Stamford,06902-2217,203-977-4544,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"11 West North St.
Stamford, CT 06902-2217
(41.059713983, -73.547490031)"
Cheshire School District,Doolittle School,Public Schools,0250611,735 Cornwall Ave.,Cheshire,06410-2617,203-272-3549,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"735 Cornwall Ave.
Cheshire, CT 06410-2617
(41.498513991, -72.923768979)"
Hamden School District,Ridge Hill School,Public Schools,0621111,120 Carew Rd.,Hamden,06517-2906,203-407-2035,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"120 Carew Rd.
Hamden, CT 06517-2906
(41.346950993, -72.896513042)"
Westbrook School District,Westbrook High School,Public Schools,1546111,156 McVeagh Rd.,Westbrook,06498,860-399-6214,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"156 McVeagh Rd.
Westbrook, CT 06498
(41.303829998, -72.453636999)"
Hartford School District,Dwight-Bellizzi Dual Language Academy,Public Schools,0640711,215 South Street,Hartford,06114-1918,860-695-2400,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,1,"215 South Street
Hartford, CT 06114-1918
(41.733939984, -72.680274021)"
Department of Mental Health and Addiction Services,Department of Mental Health and Addiction Services,State Agencies,3370015,"410 Capitol Avenue, Box 341431",Hartford,06134,860-262-7175,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"410 Capitol Avenue, Box 341431
Hartford, CT 06134
(41.764154021, -72.689706009)"
East Granby School District,R. Dudley Seymour School,Public Schools,0400211,185 Hartford Ave.,East Granby,06026-9520,860-653-7214,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"185 Hartford Ave.
East Granby, CT 06026-9520
(41.932232008, -72.769380022)"
Regional School District 12,Shepaug Valley School,Regional Schools,2120312,159 South Street,Washington,06793-0000,860-868-7326,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2013-08-26T00:00:00.000,,"159 South Street
Washington, CT 06793-0000
(41.601497993, -73.306045036)"
Eastern Connecticut Regional Educational Service Center (EASTCONN),Arts at the Capitol Theater Magnet School (ACT),Regional Education Service Center Schools,2536014,896 Main Street,Willimantic,06226,860-465-5636,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2007-09-04T00:00:00.000,1,"896 Main Street
Willimantic, CT 06226
(41.71231899, -72.216084978)"
West Hartford School District,Bristow Middle School,Public Schools,1555311,34 Highland St.,West Hartford,06102,860-231-2100,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2005-07-01T00:00:00.000,0,"34 Highland St.
West Hartford, CT 06102
(41.768693995, -72.71735598)"
New Haven School District,Ross/Woodward School,Public Schools,0931011,185 Barnes Ave.,New Haven,06513,475-220-3100,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2004-07-01T00:00:00.000,1,"185 Barnes Ave.
New Haven, CT 06513
(41.323440006, -72.878132031)"
Middletown School District,Bielefield School,Public Schools,0830211,70 Maynard St.,Middletown,06457-4519,860-347-4124,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"70 Maynard St.
Middletown, CT 06457-4519
(41.541928016, -72.632503962)"
Danbury School District,DPS Early Childhood Center,Public Schools,0340111,17 Cottage Street,Danbury,06810,203-797-4832,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2013-08-27T00:00:00.000,,"17 Cottage Street
Danbury, CT 06810
(41.392773013, -73.443191998)"
Stratford School District,Franklin School,Public Schools,1380411,1895 Barnum Avenue,Stratford,06615-5307,203-385-4190,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"1895 Barnum Avenue
Stratford, CT 06615-5307
(41.192561171, -73.147802108)"
Waterbury School District,Washington School,Public Schools,1512311,685 Baldwin St.,Waterbury,06706-1507,203-574-8177,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"685 Baldwin St.
Waterbury, CT 06706-1507
(41.543398998, -73.033547016)"
New Haven School District,Family Academy of Multilingual Exploration,Public Schools,0934111,255 Blatchley Ave.,New Haven,06513,475-220-2500,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"255 Blatchley Ave.
New Haven, CT 06513
(41.309271991, -72.898791997)"
Norwalk School District,Silvermine Dual Language Magnet School,Public Schools,1032311,157 Perry Avenue,Norwalk,06850-1100,203-899-2950,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"157 Perry Avenue
Norwalk, CT 06850-1100
(41.147491998, -73.440741968)"
Torrington School District,Torrington High School,Public Schools,1436111,50 Major Besse Dr.,Torrington,06790-3793,860-489-2294,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"50 Major Besse Dr.
Torrington, CT 06790-3793
(41.816960011, -73.110832019)"
Regional School District 17,Killingworth Elementary School,Regional Schools,2170312,340 Route 81,Higganum,06419-1299,860-663-1121,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"340 Route 81
Higganum, CT 06419-1299
(41.370633012, -72.565828018)"
Derby School District,Bradley School,Public Schools,0370611,155 David Humphreys Rd.,Derby,06418-2299,203-736-5040,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"155 David Humphreys Rd.
Derby, CT 06418-2299
(41.317573009, -73.063078976)"
Berlin School District,Mary E. Griswold School,Public Schools,0070511,133 Heather Ln.,Kensington,06037-2056,860-828-6336,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"133 Heather Ln.
Kensington, CT 06037-2056
(41.637294, -72.784599966)"
Side By Side Charter School District,Side By Side Charter School,Public Charter Schools,2700113,10 Chestnut St.,Norwalk,06854,203-857-0306,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"10 Chestnut St.
Norwalk, CT 06854
(41.095749351, -73.420200583)"
Litchfield School District,Litchfield High School,Public Schools,0746111,14 Plumb Hill Road,Litchfield,06759,860-567-7530,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"14 Plumb Hill Road
Litchfield, CT 06759
(41.740157009, -73.205820021)"
Vernon School District,Skinner Road School,Public Schools,1461011,90 Skinner Rd.,Vernon,06066-2723,860-870-6180,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"90 Skinner Rd.
Vernon, CT 06066-2723
(41.855949984, -72.491460001)"
Branford School District,Mary R. Tisko School,Public Schools,0141511,118 Damascus Rd.,Branford,06405-3904,203-483-1826,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"118 Damascus Rd.
Branford, CT 06405-3904
(41.284517004, -72.789033993)"
